,source,target
663,WebSciConf,OSoMe_IU
664,WebSciConf,IUNetSci
665,WebSciConf,dder
666,WebSciConf,emilio__ferrara
667,WebSciConf,TheOfficialACM
668,WebSciConf,danielequercia
669,WebSciConf,emilio__ferrara
670,WebSciConf,OSoMe_IU
671,WebSciConf,DameWendyDBE
672,WebSciConf,DameWendyDBE
673,WebSciConf,turinginst
674,WebSciConf,emilio__ferrara
675,WebSciConf,emilio__ferrara
676,WebSciConf,emilio__ferrara
677,WebSciConf,alexvespi
678,WebSciConf,emilio__ferrara
679,WebSciConf,emilio__ferrara
680,WebSciConf,emilio__ferrara
681,WebSciConf,emilio__ferrara
682,WebSciConf,stefhaustein
683,WebSciConf,sotonWSI
684,WebSciConf,WebScience16
685,WebSciConf,emilio__ferrara
686,WebSciConf,emilio__ferrara
687,WebSciConf,UTWthePodcast
688,WebSciConf,DameWendyDBE
689,WebSciConf,emilio__ferrara
690,WebSciConf,stefhaustein
691,WebSciConf,UoSMedia
692,WebSciConf,YahooResearch
693,WebSciConf,emilio__ferrara
694,WebSciConf,emilio__ferrara
695,WebSciConf,emilio__ferrara
696,WebSciConf,emilio__ferrara
697,WebSciConf,danjamker
698,WebSciConf,emilio__ferrara
699,WebSciConf,emilio__ferrara
700,WebSciConf,acerbialberto
701,WebSciConf,foucaultwelles
702,WebSciConf,nattiyak
703,WebSciConf,ingmarweber
704,WebSciConf,IULuddy
705,WebSciConf,robysinatra
706,WebSciConf,manoelribeiro
707,WebSciConf,gianluca_string
708,WebSciConf,sotonWSI
709,WebSciConf,DameWendyDBE
710,WebSciConf,kvlyle
711,WebSciConf,ZorzalErrante
712,WebSciConf,gianluca_string
713,WebSciConf,WebScience16
714,WebSciConf,WebScience16
715,WebSciConf,emilio__ferrara
716,WebSciConf,emilio__ferrara
717,WebSciConf,emilio__ferrara
718,WebSciConf,emilio__ferrara
719,WebSciConf,stefhaustein
720,WebSciConf,Isabella83
721,WebSciConf,JisunAn
722,WebSciConf,shawnmjones
723,WebSciConf,mleonurr
724,WebSciConf,DameWendyDBE
725,WebSciConf,lisaharris
726,WebSciConf,c0rrad0m0nti
727,WebSciConf,WebScience16
728,WebSciConf,LauraDeNardis
729,WebSciConf,mstrohm
730,WebSciConf,IWAN_RG
731,WebSciConf,kourtellis
732,WebSciConf,ZorzalErrante
733,WebSciConf,jahendler
734,WebSciConf,Rubywax
735,WebSciConf,DameWendyDBE
736,WebSciConf,DameWendyDBE
737,WSDMSocial,MSFTResearch
738,WSDMSocial,MSFTResearch
739,WSDMSocial,harryshum
740,WSDMSocial,saurabhbikram
741,WSDMSocial,MSFTResearch
742,WSDMSocial,gvrkiran
743,WSDMSocial,invertedindex
744,WSDMSocial,cvangysel
745,WSDMSocial,mounialalmas
746,WSDMSocial,gvrkiran
747,WSDMSocial,BaiduResearch
748,WSDMSocial,rabeeh
749,WSDMSocial,elad1
750,WSDMSocial,lajello
751,WSDMSocial,lajello
752,WSDMSocial,UnderdogGeek
753,WSDMSocial,libbykinsey
754,WSDMSocial,mounialalmas
