tweet_id,username,retweets,retweet_name
1387975637432901634,saby_tweets,4,thesisreview
1384143101065789441,ryanroutledge,9,nc2y
1384143200336572428,ryanroutledge,6,CyLa
1384143149828763661,ryanroutledge,3,HatforceSec
1376964697069658112,rupensa,9,WTKLAB
1376590642512531458,rupensa,3,emmepirra
1384740915177209856,rupensa,2,moojan_a
1358688945916178432,rozboris,7122,qrs
1312539769314762753,rozboris,86,jeffdeist
1302031035991953408,rozboris,34,pebble_dev
1303218964953100288,rozboris,2,allagentis
1387713500722737153,roysoumya1,2945,harattttttt
1386619045093511169,roysoumya1,157,vanHinsbergen
1381882410011348993,roysoumya1,52,AllenLao
1383893280589418502,roysoumya1,32,aamas2021
1386797596648280066,roysoumya1,5,PGCgenetics
1388126852229869569,rosmith11,16,CU_President
1388314723456671752,rosenzweig1991,6,shannonmattern
1034160533035991040,roseberrymaier,517,BrianNosek
1034160186540339202,roseberrymaier,337,hadleywickham
1038810475805458432,roseberrymaier,34,_LaRoos
991904745932709888,roseberrymaier,13,DigCivSoc
1383316674284118016,romain_riviere,362,facebookai
1383766083757240334,romain_riviere,169,illyuchenlin
1385488798843289602,romain_riviere,70,Thom_Wolf
1384188335019626502,romain_riviere,39,colinraffel
1384553360574107656,romain_riviere,15,ak92501
1372126385570000898,rollwaveplanner,2,EPC_SEPA
1386730137954127875,rohit_rathore2,11182,sundarpichai
1386730162675326979,rohit_rathore2,9649,satyanadella
1386422004086054912,rohit_rathore2,61,lmoroney
1388154143836016642,rohit_rathore2,37,ikostrikov
981884881578876928,rodrikk,190117,Justinfication
1025719514657419264,rodrikk,15247,ByScottCullen
1096432582630227968,rodrikk,739,CodeWisdom
982403980012634112,rodrikk,20,ylecun
1246103978212900865,robipalo,61,mtizzoni
1037028564539858944,robipalo,58,karpathy
1037028605564338176,robipalo,35,karpathy
1023102518375542785,robipalo,24,legogradstudent
1072952802794586112,robipalo,11,pirroh
1388201173912588290,robinwritescode,200,JoshuaOgundu
1387759245676974084,robinwritescode,131,omarsar0
1387759657318600718,robinwritescode,129,omarsar0
1388326096924467200,robinwritescode,80,TurnerNovak
1388169341695369216,robinwritescode,13,mattwensing
1387211839449165827,rmit_cidda,5,wangxieric
1385106515606982656,rmit_cidda,5,wangxieric
1382906409919029250,rmit_cidda,3,damiano10
1382667595241779202,rmit_cidda,1,OlegZendel
1375455485839601666,rilwan128,2,_LoganathanB
1385294420740694017,rilwan128,1,torryharris
